,year,state,lbs_of_honey
547,2006,US TOTAL,60484000
548,2006,ALABAMA,230000
549,2006,ARIZONA,839000
550,2006,ARKANSAS,730000
551,2006,CALIFORNIA,7706000
552,2006,COLORADO,1458000
553,2006,FLORIDA,1790000
554,2006,GEORGIA,746000
555,2006,HAWAII,233000
556,2006,IDAHO,2592000
557,2006,ILLINOIS,356000
558,2006,INDIANA,125000
559,2006,IOWA,1441000
560,2006,KANSAS,246000
561,2006,KENTUCKY,70000
562,2006,LOUISIANA,675000
563,2006,MAINE,86000
564,2006,MICHIGAN,2099000
565,2006,MINNESOTA,3300000
566,2006,MISSISSIPPI,453000
567,2006,MISSOURI,117000
568,2006,MONTANA,1981000
569,2006,NEBRASKA,3843000
570,2006,NEVADA,50000
571,2006,NEW JERSEY,152000
572,2006,NEW MEXICO,104000
573,2006,NEW YORK,2376000
574,2006,NORTH CAROLINA,215000
575,2006,NORTH DAKOTA,7770000
576,2006,OHIO,282000
577,2006,OREGON,729000
578,2006,OTHER STATES,249000
579,2006,PENNSYLVANIA,605000
580,2006,SOUTH DAKOTA,10575000
581,2006,TENNESSEE,58000
582,2006,TEXAS,976000
583,2006,UTAH,299000
584,2006,VERMONT,144000
585,2006,VIRGINIA,114000
586,2006,WASHINGTON,1605000
587,2006,WEST VIRGINIA,68000
588,2006,WISCONSIN,2500000
589,2006,WYOMING,497000
590,2005,US TOTAL,62455000
591,2005,ALABAMA,266000
592,2005,ARIZONA,720000
593,2005,ARKANSAS,571000
594,2005,CALIFORNIA,9300000
595,2005,COLORADO,902000
596,2005,FLORIDA,2477000
597,2005,GEORGIA,434000
598,2005,HAWAII,283000
599,2005,IDAHO,1793000
600,2005,ILLINOIS,408000
601,2005,INDIANA,189000
602,2005,IOWA,1232000
603,2005,KANSAS,328000
604,2005,KENTUCKY,40000
605,2005,LOUISIANA,611000
606,2005,MAINE,193000
607,2005,MICHIGAN,2519000
608,2005,MINNESOTA,1598000
609,2005,MISSISSIPPI,346000
610,2005,MISSOURI,180000
611,2005,MONTANA,3136000
612,2005,NEBRASKA,2530000
613,2005,NEVADA,442000
614,2005,NEW JERSEY,104000
615,2005,NEW MEXICO,113000
616,2005,NEW YORK,2283000
617,2005,NORTH CAROLINA,146000
618,2005,NORTH DAKOTA,8418000
619,2005,OHIO,580000
620,2005,OREGON,557000
621,2005,OTHER STATES,268000
622,2005,PENNSYLVANIA,800000
623,2005,SOUTH DAKOTA,11818000
624,2005,TENNESSEE,92000
625,2005,TEXAS,954000
626,2005,UTAH,346000
627,2005,VERMONT,169000
628,2005,VIRGINIA,59000
629,2005,WASHINGTON,1935000
630,2005,WEST VIRGINIA,102000
631,2005,WISCONSIN,2922000
632,2005,WYOMING,291000
