,year,state,lbs_per_acre,commodity
143,2015,OHIO,14900.0,APPLES
144,2015,OREGON,25100.0,APPLES
145,2015,OREGON,2310.0,CHERRIES
146,2015,OTHER STATES,4390.0,APPLES
147,2015,PENNSYLVANIA,26000.0,APPLES
148,2015,PENNSYLVANIA,15000.0,CHERRIES
149,2015,RHODE ISLAND,10400.0,APPLES
150,2015,TENNESSEE,7080.0,APPLES
151,2015,UTAH,12500.0,APPLES
152,2015,UTAH,12300.0,CHERRIES
153,2015,VERMONT,21300.0,APPLES
154,2015,VIRGINIA,19100.0,APPLES
155,2015,WASHINGTON,36800.0,APPLES
156,2015,WASHINGTON,11900.0,CHERRIES
157,2015,WEST VIRGINIA,20500.0,APPLES
158,2015,WISCONSIN,12900.0,APPLES
159,2015,WISCONSIN,5470.0,CHERRIES
160,2014,US TOTAL,36000.0,APPLES
161,2014,US TOTAL,4580.0,BLUEBERRIES
162,2014,US TOTAL,8040.0,CHERRIES
163,2014,ARIZONA,7100.0,APPLES
164,2014,CALIFORNIA,16600.0,APPLES
165,2014,COLORADO,7420.0,APPLES
166,2014,CONNECTICUT,11100.0,APPLES
167,2014,IDAHO,26400.0,APPLES
168,2014,ILLINOIS,11700.0,APPLES
169,2014,INDIANA,13200.0,APPLES
170,2014,IOWA,5000.0,APPLES
171,2014,MAINE,14100.0,APPLES
172,2014,MAINE,4580.0,BLUEBERRIES
173,2014,MARYLAND,25200.0,APPLES
174,2014,MASSACHUSETTS,14000.0,APPLES
175,2014,MICHIGAN,31100.0,APPLES
176,2014,MICHIGAN,7280.0,CHERRIES
177,2014,MINNESOTA,9620.0,APPLES
178,2014,MISSOURI,17400.0,APPLES
179,2014,NEW HAMPSHIRE,13000.0,APPLES
180,2014,NEW JERSEY,21800.0,APPLES
181,2014,NEW YORK,31300.0,APPLES
182,2014,NEW YORK,6440.0,CHERRIES
183,2014,NORTH CAROLINA,20800.0,APPLES
184,2014,OHIO,12200.0,APPLES
185,2014,OREGON,30400.0,APPLES
186,2014,OREGON,3690.0,CHERRIES
189,2014,PENNSYLVANIA,26700.0,APPLES
190,2014,PENNSYLVANIA,1760.0,CHERRIES
191,2014,RHODE ISLAND,7830.0,APPLES
192,2014,TENNESSEE,8460.0,APPLES
193,2014,UTAH,17700.0,APPLES
194,2014,UTAH,15500.0,CHERRIES
195,2014,VERMONT,17300.0,APPLES
196,2014,VIRGINIA,19700.0,APPLES
197,2014,WASHINGTON,48400.0,APPLES
198,2014,WASHINGTON,11600.0,CHERRIES
199,2014,WEST VIRGINIA,21400.0,APPLES
200,2014,WISCONSIN,13500.0,APPLES
201,2014,WISCONSIN,6830.0,CHERRIES
202,2013,US TOTAL,32000.0,APPLES
204,2013,US TOTAL,7710.0,CHERRIES
205,2013,ARIZONA,16500.0,APPLES
206,2013,CALIFORNIA,17800.0,APPLES
207,2013,COLORADO,4670.0,APPLES
208,2013,CONNECTICUT,13500.0,APPLES
209,2013,IDAHO,26100.0,APPLES
210,2013,ILLINOIS,8890.0,APPLES
211,2013,INDIANA,21400.0,APPLES
212,2013,IOWA,8100.0,APPLES
213,2013,MAINE,9310.0,APPLES
215,2013,MARYLAND,19400.0,APPLES
216,2013,MASSACHUSETTS,14500.0,APPLES
217,2013,MICHIGAN,35000.0,APPLES
218,2013,MICHIGAN,7810.0,CHERRIES
219,2013,MINNESOTA,10000.0,APPLES
220,2013,MISSOURI,14100.0,APPLES
221,2013,NEW HAMPSHIRE,18200.0,APPLES
222,2013,NEW JERSEY,17100.0,APPLES
223,2013,NEW YORK,35000.0,APPLES
224,2013,NEW YORK,7500.0,CHERRIES
225,2013,NORTH CAROLINA,25800.0,APPLES
226,2013,OHIO,13800.0,APPLES
227,2013,OREGON,28800.0,APPLES
228,2013,OREGON,6620.0,CHERRIES
231,2013,PENNSYLVANIA,25700.0,APPLES
232,2013,PENNSYLVANIA,4400.0,CHERRIES
233,2013,RHODE ISLAND,11400.0,APPLES
234,2013,TENNESSEE,10600.0,APPLES
235,2013,UTAH,12700.0,APPLES
236,2013,UTAH,8120.0,CHERRIES
237,2013,VERMONT,21300.0,APPLES
238,2013,VIRGINIA,20100.0,APPLES
239,2013,WASHINGTON,38600.0,APPLES
240,2013,WASHINGTON,8520.0,CHERRIES
241,2013,WEST VIRGINIA,22100.0,APPLES
242,2013,WISCONSIN,12000.0,APPLES
243,2013,WISCONSIN,6150.0,CHERRIES
244,2012,US TOTAL,27700.0,APPLES
246,2012,US TOTAL,2280.0,CHERRIES
247,2012,ARIZONA,8000.0,APPLES
248,2012,CALIFORNIA,16900.0,APPLES
249,2012,COLORADO,14200.0,APPLES
250,2012,CONNECTICUT,8680.0,APPLES
251,2012,IDAHO,28800.0,APPLES
252,2012,ILLINOIS,15200.0,APPLES
253,2012,INDIANA,3000.0,APPLES
254,2012,IOWA,700.0,APPLES
255,2012,MAINE,10300.0,APPLES
257,2012,MARYLAND,18400.0,APPLES
258,2012,MASSACHUSETTS,9330.0,APPLES
259,2012,MICHIGAN,3290.0,APPLES
260,2012,MICHIGAN,425.0,CHERRIES
261,2012,MINNESOTA,4660.0,APPLES
262,2012,MISSOURI,29200.0,APPLES
263,2012,NEW HAMPSHIRE,11100.0,APPLES
264,2012,NEW JERSEY,21900.0,APPLES
265,2012,NEW YORK,18000.0,APPLES
266,2012,NEW YORK,1800.0,CHERRIES
267,2012,NORTH CAROLINA,5400.0,APPLES
268,2012,OHIO,8250.0,APPLES
269,2012,OREGON,26000.0,APPLES
270,2012,OREGON,1540.0,CHERRIES
272,2012,PENNSYLVANIA,23500.0,APPLES
273,2012,PENNSYLVANIA,6000.0,CHERRIES
274,2012,RHODE ISLAND,5670.0,APPLES
275,2012,TENNESSEE,9140.0,APPLES
276,2012,UTAH,10000.0,APPLES
277,2012,UTAH,12100.0,CHERRIES
278,2012,VERMONT,15000.0,APPLES
279,2012,VIRGINIA,20900.0,APPLES
280,2012,WASHINGTON,43600.0,APPLES
281,2012,WASHINGTON,11800.0,CHERRIES
282,2012,WEST VIRGINIA,21200.0,APPLES
283,2012,WISCONSIN,7390.0,APPLES
284,2012,WISCONSIN,947.0,CHERRIES
285,2011,US TOTAL,28500.0,APPLES
286,2011,US TOTAL,6370.0,CHERRIES
287,2011,ARIZONA,9170.0,APPLES
288,2011,CALIFORNIA,16000.0,APPLES
289,2011,COLORADO,6920.0,APPLES
290,2011,CONNECTICUT,11000.0,APPLES
291,2011,IDAHO,23100.0,APPLES
292,2011,ILLINOIS,18200.0,APPLES
293,2011,INDIANA,11800.0,APPLES
294,2011,IOWA,4000.0,APPLES
295,2011,MAINE,9670.0,APPLES
296,2011,MARYLAND,22200.0,APPLES
297,2011,MASSACHUSETTS,12000.0,APPLES
298,2011,MICHIGAN,28400.0,APPLES
299,2011,MICHIGAN,5900.0,CHERRIES
300,2011,MINNESOTA,9900.0,APPLES
301,2011,MISSOURI,8330.0,APPLES
302,2011,NEW HAMPSHIRE,12000.0,APPLES
303,2011,NEW JERSEY,21200.0,APPLES
304,2011,NEW YORK,29000.0,APPLES
305,2011,NEW YORK,3930.0,CHERRIES
306,2011,NORTH CAROLINA,20900.0,APPLES
307,2011,OHIO,15500.0,APPLES
308,2011,OREGON,22600.0,APPLES
309,2011,OREGON,3850.0,CHERRIES
311,2011,PENNSYLVANIA,21800.0,APPLES
312,2011,PENNSYLVANIA,5820.0,CHERRIES
313,2011,RHODE ISLAND,8330.0,APPLES
314,2011,TENNESSEE,10600.0,APPLES
315,2011,UTAH,13600.0,APPLES
316,2011,UTAH,10600.0,CHERRIES
317,2011,VERMONT,17600.0,APPLES
318,2011,VIRGINIA,19300.0,APPLES
319,2011,WASHINGTON,36600.0,APPLES
320,2011,WASHINGTON,11000.0,CHERRIES
321,2011,WEST VIRGINIA,14900.0,APPLES
322,2011,WISCONSIN,13500.0,APPLES
323,2011,WISCONSIN,3780.0,CHERRIES
324,2010,US TOTAL,27600.0,APPLES
325,2010,US TOTAL,5340.0,CHERRIES
326,2010,ARIZONA,14200.0,APPLES
327,2010,CALIFORNIA,15600.0,APPLES
328,2010,COLORADO,10000.0,APPLES
329,2010,CONNECTICUT,11000.0,APPLES
330,2010,IDAHO,23100.0,APPLES
331,2010,ILLINOIS,23600.0,APPLES
332,2010,INDIANA,14400.0,APPLES
333,2010,IOWA,3800.0,APPLES
334,2010,MAINE,10000.0,APPLES
335,2010,MARYLAND,22400.0,APPLES
336,2010,MASSACHUSETTS,10900.0,APPLES
337,2010,MICHIGAN,16300.0,APPLES
338,2010,MICHIGAN,5150.0,CHERRIES
339,2010,MINNESOTA,7310.0,APPLES
340,2010,MISSOURI,18300.0,APPLES
341,2010,NEW HAMPSHIRE,13100.0,APPLES
342,2010,NEW JERSEY,23900.0,APPLES
343,2010,NEW YORK,30500.0,APPLES
344,2010,NEW YORK,5200.0,CHERRIES
345,2010,NORTH CAROLINA,20000.0,APPLES
346,2010,OHIO,13100.0,APPLES
347,2010,OREGON,28600.0,APPLES
348,2010,OREGON,1850.0,CHERRIES
350,2010,PENNSYLVANIA,23400.0,APPLES
351,2010,PENNSYLVANIA,3830.0,CHERRIES
352,2010,RHODE ISLAND,8670.0,APPLES
353,2010,TENNESSEE,9380.0,APPLES
354,2010,UTAH,8570.0,APPLES
355,2010,UTAH,6970.0,CHERRIES
356,2010,VERMONT,16700.0,APPLES
357,2010,VIRGINIA,17200.0,APPLES
358,2010,WASHINGTON,37000.0,APPLES
359,2010,WASHINGTON,9630.0,CHERRIES
360,2010,WEST VIRGINIA,13100.0,APPLES
361,2010,WISCONSIN,9020.0,APPLES
362,2010,WISCONSIN,3170.0,CHERRIES
363,2009,US TOTAL,28100.0,APPLES
364,2009,US TOTAL,10100.0,CHERRIES
365,2009,ARIZONA,4580.0,APPLES
366,2009,CALIFORNIA,13900.0,APPLES
367,2009,COLORADO,10700.0,APPLES
368,2009,CONNECTICUT,8860.0,APPLES
370,2009,IDAHO,17300.0,APPLES
371,2009,ILLINOIS,18400.0,APPLES
372,2009,INDIANA,15000.0,APPLES
373,2009,IOWA,4360.0,APPLES
375,2009,MAINE,11000.0,APPLES
376,2009,MARYLAND,24500.0,APPLES
377,2009,MASSACHUSETTS,12100.0,APPLES
378,2009,MICHIGAN,30800.0,APPLES
379,2009,MICHIGAN,10200.0,CHERRIES
380,2009,MINNESOTA,7730.0,APPLES
381,2009,MISSOURI,10300.0,APPLES
382,2009,NEW HAMPSHIRE,16700.0,APPLES
383,2009,NEW JERSEY,22600.0,APPLES
384,2009,NEW YORK,32600.0,APPLES
385,2009,NEW YORK,7000.0,CHERRIES
386,2009,NORTH CAROLINA,17600.0,APPLES
387,2009,OHIO,18600.0,APPLES
388,2009,OREGON,31000.0,APPLES
389,2009,OREGON,5380.0,CHERRIES
391,2009,PENNSYLVANIA,24300.0,APPLES
392,2009,PENNSYLVANIA,6500.0,CHERRIES
393,2009,RHODE ISLAND,8000.0,APPLES
395,2009,TENNESSEE,10000.0,APPLES
396,2009,UTAH,12900.0,APPLES
397,2009,UTAH,14200.0,CHERRIES
398,2009,VERMONT,17400.0,APPLES
399,2009,VIRGINIA,20800.0,APPLES
400,2009,WASHINGTON,34000.0,APPLES
401,2009,WASHINGTON,10400.0,CHERRIES
402,2009,WEST VIRGINIA,16700.0,APPLES
403,2009,WISCONSIN,10400.0,APPLES
404,2009,WISCONSIN,6060.0,CHERRIES
405,2008,US TOTAL,27600.0,APPLES
406,2008,US TOTAL,6170.0,CHERRIES
407,2008,ARIZONA,15000.0,APPLES
408,2008,CALIFORNIA,18500.0,APPLES
409,2008,COLORADO,12900.0,APPLES
410,2008,CONNECTICUT,8860.0,APPLES
411,2008,GEORGIA,20000.0,APPLES
412,2008,IDAHO,32700.0,APPLES
413,2008,ILLINOIS,18500.0,APPLES
414,2008,INDIANA,11000.0,APPLES
415,2008,IOWA,4270.0,APPLES
416,2008,KENTUCKY,9750.0,APPLES
417,2008,MAINE,12400.0,APPLES
418,2008,MARYLAND,21800.0,APPLES
419,2008,MASSACHUSETTS,10800.0,APPLES
420,2008,MICHIGAN,15900.0,APPLES
421,2008,MICHIGAN,6370.0,CHERRIES
422,2008,MINNESOTA,9030.0,APPLES
423,2008,MISSOURI,15900.0,APPLES
424,2008,NEW HAMPSHIRE,18300.0,APPLES
425,2008,NEW JERSEY,21500.0,APPLES
426,2008,NEW YORK,30200.0,APPLES
427,2008,NEW YORK,6000.0,CHERRIES
428,2008,NORTH CAROLINA,24300.0,APPLES
429,2008,OHIO,16200.0,APPLES
430,2008,OREGON,28300.0,APPLES
431,2008,OREGON,4310.0,CHERRIES
433,2008,PENNSYLVANIA,21000.0,APPLES
434,2008,PENNSYLVANIA,6500.0,CHERRIES
435,2008,RHODE ISLAND,8000.0,APPLES
436,2008,SOUTH CAROLINA,14000.0,APPLES
437,2008,TENNESSEE,11100.0,APPLES
438,2008,UTAH,8570.0,APPLES
439,2008,UTAH,6900.0,CHERRIES
440,2008,VERMONT,17600.0,APPLES
441,2008,VIRGINIA,18800.0,APPLES
442,2008,WASHINGTON,36900.0,APPLES
443,2008,WASHINGTON,9620.0,CHERRIES
444,2008,WEST VIRGINIA,17000.0,APPLES
445,2008,WISCONSIN,12100.0,APPLES
446,2008,WISCONSIN,333.0,CHERRIES
447,2007,US TOTAL,25900.0,APPLES
448,2007,US TOTAL,7290.0,CHERRIES
449,2007,ARIZONA,19200.0,APPLES
450,2007,CALIFORNIA,16800.0,APPLES
451,2007,COLORADO,8130.0,APPLES
452,2007,CONNECTICUT,10500.0,APPLES
453,2007,GEORGIA,3330.0,APPLES
454,2007,IDAHO,12500.0,APPLES
455,2007,ILLINOIS,2400.0,APPLES
456,2007,INDIANA,9520.0,APPLES
457,2007,IOWA,2450.0,APPLES
458,2007,KENTUCKY,759.0,APPLES
459,2007,MAINE,12900.0,APPLES
460,2007,MARYLAND,13800.0,APPLES
461,2007,MASSACHUSETTS,9630.0,APPLES
462,2007,MICHIGAN,21400.0,APPLES
463,2007,MICHIGAN,7510.0,CHERRIES
464,2007,MINNESOTA,8670.0,APPLES
465,2007,MISSOURI,750.0,APPLES
466,2007,NEW HAMPSHIRE,16400.0,APPLES
467,2007,NEW JERSEY,21000.0,APPLES
468,2007,NEW YORK,31200.0,APPLES
469,2007,NEW YORK,7060.0,CHERRIES
470,2007,NORTH CAROLINA,8820.0,APPLES
471,2007,OHIO,9270.0,APPLES
472,2007,OREGON,28100.0,APPLES
473,2007,OREGON,769.0,CHERRIES
475,2007,PENNSYLVANIA,22600.0,APPLES
476,2007,PENNSYLVANIA,5830.0,CHERRIES
477,2007,RHODE ISLAND,8670.0,APPLES
478,2007,SOUTH CAROLINA,600.0,APPLES
479,2007,TENNESSEE,100.0,APPLES
480,2007,UTAH,13600.0,APPLES
481,2007,UTAH,7140.0,CHERRIES
482,2007,VERMONT,13600.0,APPLES
483,2007,VIRGINIA,17900.0,APPLES
484,2007,WASHINGTON,34000.0,APPLES
485,2007,WASHINGTON,8850.0,CHERRIES
486,2007,WEST VIRGINIA,16000.0,APPLES
487,2007,WISCONSIN,10800.0,APPLES
